"","taskId","img0Id","img1ID","img0Name","img1Name","user","winner"
"159",158,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"160",159,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",-1
"161",160,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"162",161,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"163",162,228,231,"65_ohsu-0060-3-OS-posterior.bmp","69_ohsu-0063-3-OS-posterior.bmp","jason",-1
"164",163,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"165",164,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"166",165,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"167",166,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"168",167,228,231,"65_ohsu-0060-3-OS-posterior.bmp","69_ohsu-0063-3-OS-posterior.bmp","jason",-1
"169",168,235,244,"37_miam-0018-4-os.BMP","21_ohsu-0124-6-OS-posterior.bmp","jason",-1
"170",169,239,242,"13_4_Full.JPG","29_miam-0018-5-od.BMP","jason",1
"171",170,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"172",171,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"173",172,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"174",173,230,232,"77_ohsu-0030-ks-3rd-OS-posterior.bmp","53_ohsu-0041-am-1st-OD-posterior.bmp","jason",1
"175",174,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"176",175,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"177",176,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"178",177,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"179",178,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"180",179,226,242,"85_ohsu-0011-mb-2nd-OS-posterior.bmp","29_miam-0018-5-od.BMP","jason",1
"181",180,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",1
"182",181,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"183",182,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"184",183,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",1
"185",184,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"186",185,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"187",186,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"188",187,226,242,"85_ohsu-0011-mb-2nd-OS-posterior.bmp","29_miam-0018-5-od.BMP","jason",1
"189",188,241,228,"61_miam--0027-2-od.BMP","65_ohsu-0060-3-OS-posterior.bmp","jason",-1
"190",189,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",1
"191",190,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"192",191,227,243,"89_ohsu-0029-ps-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"193",192,240,241,"5_ohsu-0054-5-os.bmp","61_miam--0027-2-od.BMP","jason",1
"194",193,228,231,"65_ohsu-0060-3-OS-posterior.bmp","69_ohsu-0063-3-OS-posterior.bmp","jason",-1
"195",194,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"196",195,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"197",196,229,237,"41_beau-0061-4-OS-posterior.bmp","9_miam-0014-3-os.BMP","jason",1
"198",197,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",-1
"199",198,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",1
"200",199,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
