taskId,img0Id,img1ID,img0Name,img1Name,jason,karyn,kim,nina,tom
190,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,1,1,1,1
191,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
192,240,241,5_ohsu-0054-5-os.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
193,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,-1,-1,-1
194,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,1,1,-1,-1
195,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,1,-1,-1,-1,-1
196,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
197,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
198,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
199,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
200,242,242,29_miam-0018-5-od.BMP,29_miam-0018-5-od.BMP,1,1,1,1,1
201,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,-1,-1,-1
202,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,1,-1,-1
203,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
204,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,1,-1,-1,-1
205,240,241,5_ohsu-0054-5-os.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
206,239,242,13_4_Full.JPG,29_miam-0018-5-od.BMP,1,1,1,1,1
207,240,241,5_ohsu-0054-5-os.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
208,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,-1,-1,-1,1
209,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
210,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,1,1,1,-1
211,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
212,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
213,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
214,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
215,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
216,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
217,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
218,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
219,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,1,-1
220,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
221,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,-1,-1,-1,-1,-1
222,234,243,93_ohsu-0072-2-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
223,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,1,-1,-1,-1
224,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
225,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,1,1
