task_id,image0,image1,winner,user,date,icl
118,159,150,1,karyn,Wed Apr 29 2015 10:22:58 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1180,150,200,-1,karyn,Wed Apr 29 2015 18:57:13 GMT-0400 (EDT),ICL_third_set_hundred_r2
1181,156,190,-1,karyn,Wed Apr 29 2015 18:57:26 GMT-0400 (EDT),ICL_third_set_hundred_r2
1182,162,206,1,karyn,Wed Apr 29 2015 18:57:29 GMT-0400 (EDT),ICL_third_set_hundred_r2
1183,174,217,1,karyn,Wed Apr 29 2015 18:57:36 GMT-0400 (EDT),ICL_third_set_hundred_r2
1184,215,139,1,karyn,Wed Apr 29 2015 18:57:39 GMT-0400 (EDT),ICL_third_set_hundred_r2
1185,157,159,-1,karyn,Wed Apr 29 2015 18:57:41 GMT-0400 (EDT),ICL_third_set_hundred_r2
1186,156,207,-1,karyn,Wed Apr 29 2015 18:57:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1187,201,122,-1,karyn,Wed Apr 29 2015 18:57:44 GMT-0400 (EDT),ICL_third_set_hundred_r2
1188,147,152,1,karyn,Wed Apr 29 2015 18:57:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1189,173,167,1,karyn,Wed Apr 29 2015 18:58:08 GMT-0400 (EDT),ICL_third_set_hundred_r2
119,202,203,-1,karyn,Wed Apr 29 2015 10:23:00 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1190,172,185,1,karyn,Wed Apr 29 2015 18:58:10 GMT-0400 (EDT),ICL_third_set_hundred_r2
1191,163,187,-1,karyn,Wed Apr 29 2015 18:58:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1192,139,150,-1,karyn,Wed Apr 29 2015 18:58:18 GMT-0400 (EDT),ICL_third_set_hundred_r2
1193,174,179,1,karyn,Wed Apr 29 2015 18:58:21 GMT-0400 (EDT),ICL_third_set_hundred_r2
1194,132,202,1,karyn,Wed Apr 29 2015 18:58:23 GMT-0400 (EDT),ICL_third_set_hundred_r2
1195,185,216,-1,karyn,Wed Apr 29 2015 18:58:24 GMT-0400 (EDT),ICL_third_set_hundred_r2
1196,138,186,-1,karyn,Wed Apr 29 2015 18:58:27 GMT-0400 (EDT),ICL_third_set_hundred_r2
1197,143,177,1,karyn,Wed Apr 29 2015 18:58:30 GMT-0400 (EDT),ICL_third_set_hundred_r2
1198,172,133,1,karyn,Wed Apr 29 2015 18:58:32 GMT-0400 (EDT),ICL_third_set_hundred_r2
1199,138,170,-1,karyn,Wed Apr 29 2015 18:58:35 GMT-0400 (EDT),ICL_third_set_hundred_r2
12,195,202,1,karyn,Wed Apr 29 2015 09:32:44 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
120,205,216,-1,karyn,Wed Apr 29 2015 10:23:02 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1200,155,195,-1,karyn,Wed Apr 29 2015 18:58:37 GMT-0400 (EDT),ICL_third_set_hundred_r2
1201,131,211,-1,karyn,Wed Apr 29 2015 18:58:39 GMT-0400 (EDT),ICL_third_set_hundred_r2
1202,200,218,-1,karyn,Wed Apr 29 2015 18:58:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1203,134,204,1,karyn,Wed Apr 29 2015 18:58:44 GMT-0400 (EDT),ICL_third_set_hundred_r2
1204,142,185,1,karyn,Wed Apr 29 2015 18:58:46 GMT-0400 (EDT),ICL_third_set_hundred_r2
1205,122,209,1,karyn,Wed Apr 29 2015 18:58:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1206,208,215,-1,karyn,Wed Apr 29 2015 18:58:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
1207,182,161,1,karyn,Wed Apr 29 2015 18:58:51 GMT-0400 (EDT),ICL_third_set_hundred_r2
